"Treatment","ID","Day","Duration","DP1","PeakFreq"
"Vehicle","CT_In_BB1199",0,0.503171470502316,0.379367533716981,9.28878784179688
"Vehicle","CT_In_BB1199",1,0.526380578692876,0.39492601885776,8.98361206054688
"Vehicle","CT_In_BB1199",3,0.539191615553752,0.400880639794469,8.7738037109375
"Vehicle","CT_In_BB1199",5,0.557505136013905,0.411287196929515,8.41140747070312
"Vehicle","CT_In_BB1199",7,0.550388058217631,0.407869395973992,8.60214233398438
"Vehicle","CT_In_BB1199",9,0.565430624162255,0.419958687369614,8.4686279296875
"Vehicle","CT_In_BB1199",11,0.54706210717011,0.403633964546269,8.65936279296875
"Vehicle","CT_In_BB1199",13,0.559073665406209,0.410594668294449,8.392333984375
"Vehicle","CT_In_BB1200",0,0.511524166570757,0.384830493741785,8.67843627929688
"Vehicle","CT_In_BB1200",1,0.513988565993127,0.384471337318966,8.56399536132812
"Vehicle","CT_In_BB1200",3,0.534657734707305,0.399773802453524,8.23974609375
"Vehicle","CT_In_BB1200",5,0.533404368446674,0.40068643540661,8.33511352539062
"Vehicle","CT_In_BB1200",7,0.537252088209703,0.403719818801987,8.33511352539062
"Vehicle","CT_In_BB1200",9,0.555222209274363,0.415259509101412,8.06808471679688
"Vehicle","CT_In_BB1200",11,0.549346674222281,0.412020961596258,8.1634521484375
"Vehicle","CT_In_BB1200",13,0.558921493765818,0.417191550637444,8.02993774414062
"Vehicle","CT_In_BB1206",0,0.369498456056412,0.296319384096871,13.1607055664062
"Vehicle","CT_In_BB1206",1,0.393066559138135,0.312592652950533,12.0735168457031
"Vehicle","CT_In_BB1206",3,0.442844565829903,0.352124315516994,11.138916015625
"Vehicle","CT_In_BB1206",5,0.442163596401083,0.352106074254967,11.0626220703125
"Vehicle","CT_In_BB1206",7,0.425833918635163,0.337059667571844,11.3296508789062
"Vehicle","CT_In_BB1206",9,0.42525220252132,0.337725534115004,11.4250183105469
"Vehicle","CT_In_BB1206",11,0.438021103687305,0.348683540044457,11.3296508789062
"Vehicle","CT_In_BB1206",13,0.440990847948327,0.351238739246629,11.2342834472656
"Vehicle","CT_In_BB1207",0,0.424976640515374,0.332202396736085,10.8718872070312
"Vehicle","CT_In_BB1207",1,0.441339014422862,0.347587462272414,10.5094909667969
"Vehicle","CT_In_BB1207",3,0.468424765800061,0.366298416412499,9.88006591796875
"Vehicle","CT_In_BB1207",5,0.462074180421356,0.360309790744743,10.0517272949219
"Vehicle","CT_In_BB1207",7,0.45215976431155,0.350779601267297,10.2424621582031
"Vehicle","CT_In_BB1207",9,0.447310506991753,0.349798927469146,10.528564453125
"Vehicle","CT_In_BB1207",11,0.445227461776942,0.351596275710479,10.6048583984375
"Vehicle","CT_In_BB1207",13,0.458617411527133,0.357179843228353,10.3950500488281
"Testosterone","TT_In_BB1195",0,0.555927146171837,0.417946387524601,8.04901123046875
"Testosterone","TT_In_BB1195",1,0.65354740992678,0.488111013911223,7.05718994140625
"Testosterone","TT_In_BB1195",3,0.947661160227389,0.641491372469736,4.48226928710938
"Testosterone","TT_In_BB1195",5,1.1893527600345,0.710299078081951,3.22341918945312
"Testosterone","TT_In_BB1195",7,1.32741872895327,0.76859590140071,2.86102294921875
"Testosterone","TT_In_BB1195",9,1.3699767096073,0.783685425459356,2.6702880859375
"Testosterone","TT_In_BB1195",11,1.42531112115107,0.804853693283592,2.47955322265625
"Testosterone","TT_In_BB1195",13,1.42942495013699,0.787682766842448,2.30789184570312
"Testosterone","TT_In_BB1196",0,0.678734561723088,0.498600457950599,6.866455078125
"Testosterone","TT_In_BB1196",1,0.800381907121228,0.570867456401641,5.7220458984375
"Testosterone","TT_In_BB1196",3,1.12151176981977,0.728674346443438,3.814697265625
"Testosterone","TT_In_BB1196",5,1.27082926265616,0.79309166978505,3.07083129882812
"Testosterone","TT_In_BB1196",7,1.32000816458636,0.811217289621991,2.93731689453125
"Testosterone","TT_In_BB1196",9,1.35985460901022,0.815274221366998,2.72750854492188
"Testosterone","TT_In_BB1196",11,1.44483132105735,0.859356877499085,2.65121459960938
"Testosterone","TT_In_BB1196",13,1.43062722403079,0.835953715155271,2.55584716796875
"Testosterone","TT_In_BB1208",0,0.330036007945574,0.268405102699266,14.6293640136719
"Testosterone","TT_In_BB1208",1,0.400852286136588,0.321100953526744,11.6348266601562
"Testosterone","TT_In_BB1208",3,0.619248091267564,0.470049574298425,7.2479248046875
"Testosterone","TT_In_BB1208",5,0.804281225042157,0.528290604046525,4.94003295898438
"Testosterone","TT_In_BB1208",7,0.920740824465568,0.591686561637755,4.3487548828125
"Testosterone","TT_In_BB1208",9,1.06810719812331,0.674294436477442,3.64303588867188
"Testosterone","TT_In_BB1208",11,1.10094909246887,0.67864864480035,3.62396240234375
"Testosterone","TT_In_BB1208",13,1.15727860285851,0.719486428855018,3.4332275390625
"Testosterone","TT_In_BB1209",0,0.40317538904037,0.319422536238156,11.5585327148438
"Testosterone","TT_In_BB1209",1,0.480467544839687,0.38040891997102,9.5367431640625
"Testosterone","TT_In_BB1209",3,0.741182012838951,0.562971136798392,6.31332397460938
"Testosterone","TT_In_BB1209",5,1.01834808007966,0.642163102001385,3.814697265625
"Testosterone","TT_In_BB1209",7,1.11265309689361,0.671595601853892,3.4332275390625
"Testosterone","TT_In_BB1209",9,1.14410219537487,0.733168489655801,3.24249267578125
"Testosterone","TT_In_BB1209",11,1.23445703524651,0.748425707367122,3.0517578125
"Testosterone","TT_In_BB1209",13,1.25601720210191,0.762480861463501,3.0517578125
