"Amps","Latency","ID","Day","Sex","Weight","BL","Treatment","Surgery","DP1","EODonset"
0.986787964510737,9.6044,"CT_In_BB1294",4,"Male",2.8,6.4,"Vehicle","Intact",2.98176,2.608
0.947955509836698,9.8044,"CT_In_BB1294",4,"Male",2.8,6.4,"Vehicle","Intact",2.98176,2.608
0.95968882602546,10.0044,"CT_In_BB1294",4,"Male",2.8,6.4,"Vehicle","Intact",2.98176,2.608
0.985534267712486,10.2044,"CT_In_BB1294",4,"Male",2.8,6.4,"Vehicle","Intact",2.98176,2.608
0.929915716410504,0.2036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.982588001983137,0.4036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.854437283093704,0.6036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.871056023797713,0.8036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.838849776896375,1.0036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.838730788299455,1.2036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
1,1.4036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.896341100644519,1.6036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.814913237481405,1.8036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.828973723351513,2.0036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.81933564700049,2.2036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.853822508676249,2.4036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.483272186415467,2.6036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.147149231531978,2.8036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.00805156172533463,3.0036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.00527516113039165,3.2036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.00943976202280612,3.4036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0,3.6036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.00402578086266731,3.8036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
