"t_peak1","t_peak2","f_peak1","f_peak2","z_peak1","z_peak2","halfwid","DP1","ID","Unit","KO_ID","Treatment","Day","PPF","EODduration","ratio","ratio_z","interval","t_peak1_DP1"
0.559000000000005,-17.863,8.64220624659365,1.80016532448644,18.5732160697669,3.09981259701775,0.0805574959363266,0.391617063237628,"BB1319","01","BB1319_Unit01","Vehicle",1,5149.84130859375,0.514705544168593,0.208299278346427,0.166896922179436,-18.422,0.167382936762377
0.590000000000003,1.566,12.6026815140792,0.77381570721161,27.5681719230802,1.59377846490102,0.0678327788151706,0.419772340403553,"BB1319","01","BB1319_Unit01","Vehicle",6,4768.37158203125,0.572596779354476,0.0614008777693172,0.0578122651493876,0.975999999999999,0.170227659596451
0.576999999999998,1.596,11.7484585285706,1.14482512359457,26.9960188031294,2.39252555529164,0.0639596757557327,0.448273478600901,"BB1319","01","BB1319_Unit01","Vehicle",14,4577.63671875,0.595203711796312,0.0974447090918787,0.0886251255320024,1.01900000000001,0.128726521399097
0.600000000000001,9.989,10.1146138093049,1.18373967789422,23.135349683175,2.22272788375282,0.0753749898501743,0.391617063237628,"BB1319","02","BB1319_Unit02","Vehicle",1,5149.84130859375,0.514705544168593,0.117032612436991,0.0960749638190809,9.389,0.208382936762374
0.622999999999998,0.268999999999998,12.7345177235209,1.62383802278091,26.9493270050213,3.07745778251094,0.0604472432404739,0.419772340403553,"BB1319","02","BB1319_Unit02","Vehicle",6,4768.37158203125,0.572596779354476,0.127514685521356,0.114194235052235,-0.353999999999999,0.203227659596445
0.585999999999999,4.247,11.908093777491,0.945735497068313,26.0951364511867,1.6850461974467,0.0640761382236302,0.448273478600901,"BB1319","02","BB1319_Unit02","Vehicle",14,4577.63671875,0.595203711796312,0.079419554022657,0.0645731897435653,3.661,0.137726521399098
-4.068,-1.577,2.28407648988556,2.26662388480016,4.88542318058643,4.83876550611919,0.0798296125006752,0.391617063237628,"BB1319","03","BB1319_Unit03","Vehicle",1,5149.84130859375,0.514705544168593,0.992359010233375,0.990449614548716,2.491,-4.45961706323763
0.658999999999999,-0.725999999999999,13.0330614471382,0.92349486742343,26.781928948731,1.65173972190518,0.0668174833529881,0.419772340403553,"BB1319","04","BB1319_Unit04","Vehicle",6,4768.37158203125,0.572596779354476,0.0708578618438273,0.0616736652937556,-1.385,0.239227659596446
0.639000000000003,0.311999999999998,12.0058718705945,1.18966152587464,28.2824840296109,2.62628314690112,0.0610513610711072,0.419772340403553,"BB1319","05","BB1319_Unit05","Vehicle",6,4768.37158203125,0.572596779354476,0.0990899735310711,0.0928589986703957,-0.327000000000005,0.21922765959645
0.597000000000001,-14.068,12.6269128158802,1.22436718414407,26.1631174494941,2.20199379739903,0.0655514713196014,0.448273478600901,"BB1319","05","BB1319_Unit05","Vehicle",14,4577.63671875,0.595203711796312,0.0969648877755971,0.084164045116176,-14.665,0.1487265213991
0.655999999999999,-7.334,12.6281463774109,0.845528096944389,26.9793016196799,1.62241870931131,0.0682976238373368,0.448273478600901,"BB1319","06","BB1319_Unit06","Vehicle",14,4577.63671875,0.595203711796312,0.0669558359298764,0.060135682241969,-7.98999999999999,0.207726521399098
0.526000000000003,-15.609,14.2190390544024,0.899820768906541,27.101729590207,1.47378424498173,0.0658822461973121,0.393937576835816,"BB1321","01","BB1321_Unit01","Vehicle",2,4959.1064453125,0.521441722225641,0.0632828115503309,0.0543797118215759,-16.135,0.132062423164187
0.526000000000003,NA,14.4387790895008,NA,28.5970785496192,NA,0.0649016166085134,0.398022145711706,"BB1321","01","BB1321_Unit01","Vehicle",7,4959.1064453125,0.529612400716796,NA,NA,NA,0.127977854288298
0.530999999999999,NA,14.3982399528084,NA,28.5298644026509,NA,0.0652186539295857,0.391748881037809,"BB1321","01","BB1321_Unit01","Vehicle",15,4959.1064453125,0.517519312001363,NA,NA,NA,0.13925111896219
1.957,0.681000000000004,3.62000424587508,3.53210158194901,5.91007178705451,5.73024102781055,0.0863879893638089,0.393937576835816,"BB1321","02","BB1321_Unit02","Vehicle",2,4959.1064453125,0.521441722225641,0.975717524633781,0.969572153144083,-1.276,1.56306242316418
0.753999999999998,-7.059,9.14056578976202,0.630189378509665,24.2734952238192,1.57168623488983,0.0881399647212433,0.398022145711706,"BB1321","02","BB1321_Unit02","Vehicle",7,4959.1064453125,0.529612400716796,0.0689442418559598,0.0647490697321399,-7.813,0.355977854288292
0.758000000000003,-9.09,5.59949461625675,1.59208840532441,15.4851148533589,3.63041903918053,0.0708132666765606,0.391748881037809,"BB1321","02","BB1321_Unit02","Vehicle",15,4959.1064453125,0.517519312001363,0.284327160651637,0.234445728918379,-9.848,0.366251118962193
0.564999999999998,-18.57,8.75743360519051,1.90681441399375,18.3311184092008,3.36738355420557,0.0838682526968623,0.393937576835816,"BB1321","03","BB1321_Unit03","Vehicle",2,4959.1064453125,0.521441722225641,0.217736668064898,0.183697659850116,-19.135,0.171062423164182
0.545999999999999,9.16,10.6164231752423,1.46980560442331,24.6817009311022,2.95661508350471,0.0637040235812896,0.398022145711706,"BB1321","03","BB1321_Unit03","Vehicle",7,4959.1064453125,0.529612400716796,0.138446403290604,0.119789762130169,8.614,0.147977854288294
0.527999999999999,-10.749,13.0389657043921,1.5863833702369,24.4911088090182,2.45327737867081,0.0647758304169133,0.391748881037809,"BB1321","03","BB1321_Unit03","Vehicle",15,4959.1064453125,0.517519312001363,0.121664816535451,0.100170122871997,-11.277,0.136251118962189
